Date,Close
1/2/2015 16:00:00,56.22
1/5/2015 16:00:00,55.09
1/6/2015 16:00:00,54.93
1/7/2015 16:00:00,57.22
1/8/2015 16:00:00,57.6
1/9/2015 16:00:00,56.72
1/12/2015 16:00:00,57.01
1/13/2015 16:00:00,57.06
1/14/2015 16:00:00,56.7
1/15/2015 16:00:00,57.19
1/16/2015 16:00:00,57.73
1/20/2015 16:00:00,58.44
1/21/2015 16:00:00,58.49
1/22/2015 16:00:00,58.49
1/23/2015 16:00:00,59.88
1/26/2015 16:00:00,59
1/27/2015 16:00:00,59.06
1/28/2015 16:00:00,57.93
1/29/2015 16:00:00,57.56
1/30/2015 16:00:00,56.86
2/2/2015 16:00:00,57.3
2/3/2015 16:00:00,57.01
2/4/2015 16:00:00,56.47
2/5/2015 16:00:00,57.54
2/6/2015 16:00:00,57.6
2/9/2015 16:00:00,56.36
2/10/2015 16:00:00,57.16
2/11/2015 16:00:00,56.88
2/12/2015 16:00:00,57.35
2/13/2015 16:00:00,56.77
2/17/2015 16:00:00,57
2/18/2015 16:00:00,56.93
2/19/2015 16:00:00,56.24
2/20/2015 16:00:00,56.55
2/23/2015 16:00:00,56.55
2/24/2015 16:00:00,56.78
2/25/2015 16:00:00,56.52
2/26/2015 16:00:00,56.49
2/27/2015 16:00:00,57.02
3/2/2015 16:00:00,57.16
3/3/2015 16:00:00,56.46
3/4/2015 16:00:00,56.56
3/5/2015 16:00:00,56.51
3/6/2015 16:00:00,56.4
3/9/2015 16:00:00,56.79
3/10/2015 16:00:00,56.2
3/11/2015 16:00:00,57.61
3/12/2015 16:00:00,60.21
3/13/2015 16:00:00,60
3/16/2015 16:00:00,60.41
3/17/2015 16:00:00,61.45
3/18/2015 16:00:00,61.85
3/19/2015 16:00:00,61.55
3/20/2015 16:00:00,62.1
3/23/2015 16:00:00,62.65
3/24/2015 16:00:00,62.57
3/25/2015 16:00:00,61.27
3/26/2015 16:00:00,62.42
3/27/2015 16:00:00,61.98
3/30/2015 16:00:00,62.52
3/31/2015 16:00:00,62.3
4/1/2015 16:00:00,62.54
4/2/2015 16:00:00,63.8
4/6/2015 16:00:00,64.43
4/7/2015 16:00:00,64.25
4/8/2015 16:00:00,66.52
4/9/2015 16:00:00,67.14
4/10/2015 16:00:00,66.37
4/13/2015 16:00:00,66.02
4/14/2015 16:00:00,66.06
4/15/2015 16:00:00,65.97
4/16/2015 16:00:00,63.49
4/17/2015 16:00:00,64.91
4/20/2015 16:00:00,63.29
4/21/2015 16:00:00,64.16
4/22/2015 16:00:00,63.01
4/23/2015 16:00:00,63.25
4/24/2015 16:00:00,64.41
4/27/2015 16:00:00,61.63
4/28/2015 16:00:00,61.3
4/29/2015 16:00:00,62.08
4/30/2015 16:00:00,60.42
5/1/2015 16:00:00,62.17
5/4/2015 16:00:00,61.93
5/5/2015 16:00:00,61.46
5/6/2015 16:00:00,60.15
5/7/2015 16:00:00,60.04
5/8/2015 16:00:00,60.58
5/11/2015 16:00:00,61.29
5/12/2015 16:00:00,60.79
